//element	parentId
HT1080	 377	//cultured cell name,
Cytometer	 92		//detection instrument name,
SDS-PAGE	 92		//detection instrument name,
CCD fluorometer	 92		//detection instrument name,
GE Typhoon laser scanner	 92		//detection instrument name,
Sybr Green PCR Reagent Kit	 63		//assay kit name,
AB 7500 rtPCR System	 92		//detection instrument name,
LC-MS/MS	 177		//label-free method,
mass spectrometer	 92		//detection instrument name,
Thermo Scientific Orbitrap Velos	 92		//detection instrument name,
MDA-MB-435	 377		//cultured cell name,
Tecan Spectrafluor Plus	 92		//detection instrument name,
PerkinElmer AlphaScreen Bead Kit	 63		//assay kit name,
Thermo Scientific LTQ-Orbitrap	 92		//detection instrument name,
Biotek Synergy 2 plate reader	 92		//detection instrument name,
ThermoFluor 384 System	 92		//detection instrument name,
Roche LightCycler480Ž	 92		//detection instrument name,
LJL Analyst	 92		//detection instrument name,
Agilent Cary Eclipse Fluorescence Spectrophotometer	 92		//detection instrument name,
ABI PRISM 7700 sequence detector	 92		//detection instrument name,
Beckman LS 6000SC counter	 92		//detection instrument name,
Huh7	 377		//cultured cell name,
CytoTox-ONE Homogenous Membrane Integrity Assay	 63		//assay kit name,
SW620	 377		//cultured cell name,
Neuro-2A	 377		//cultured cell name,
BW5147	 377		//cultured cell name,
GalScreen base kit	 63		//assay kit name,
HMLE	 377		//cultured cell name,
AB Power SYBR Green	 63		//assay kit name,
Millipore HDAC Assay Kit	 63		//assay kit name,
H4	 377		//cultured cell name,
SK-MEL-5	 377		//cultured cell name,
MALME3	 377		//cultured cell name,
Capillary electrophoresis	 177		//label-free method,
SUM159	 377		//cultured cell name,
LCL	 377		//cultured cell name,
ThioGlo-1 detection reagent	 63		//assay kit name,
A375	 377		//cultured cell name,
SigmaFast protease inhibitor substrate	 63		//assay kit name,
SV40	 377		//cultured cell name,
uCi/mL	 1170		//activity (of a radionuclide) unit,
Renilla Glo luciferase assay	 63		//assay kit name,
D54	 377		//cultured cell name,
CEM21	 377		//cultured cell name,
BHK-21	 377		//cultured cell name,
A673	 377		//cultured cell name,
mESC	 377		//cultured cell name,
Alphalisa Bead kit	 63		//assay kit name,
L-6	 377		//cultured cell name,
Betaplate liquid scintillation counter	 92		//detection instrument name,
Spectramax Gemini XS	 92		//detection instrument name,
Ionworks Quattro	 92		//detection instrument name,
Membrane Potential Assay Kit, Blue	 63		//assay kit name,
IgMXP3	 377		//cultured cell name,
flow cytometer	 92		//detection instrument name
MOLT-4	 377		//cultured cell name,
RPMI-8226	 377		//cultured cell name,
SR	 377		//cultured cell name,
EKVX	 377		//cultured cell name,
HOP-62	 377		//cultured cell name,
HOP-92	 377		//cultured cell name,
H226	 377		//cultured cell name,
H322M	 377		//cultured cell name,
H460	 377		//cultured cell name,
H522	 377		//cultured cell name,
HCT-15	 377		//cultured cell name,
SW-620	 377		//cultured cell name,
SF-268	 377		//cultured cell name,
SF-295	 377		//cultured cell name,
SF-539	 377		//cultured cell name,
SNB-19	 377		//cultured cell name,
SNB-75	 377		//cultured cell name,
U251	 377		//cultured cell name,
LOX IMVI	 377		//cultured cell name,
M14	 377		//cultured cell name,
UACC-257	 377		//cultured cell name,
UACC-62	 377		//cultured cell name,
IGROV1	 377		//cultured cell name,
OVCAR-3	 377		//cultured cell name,
OVCAR-4	 377		//cultured cell name,
OVCAR-5	 377		//cultured cell name,
OVCAR-8	 377		//cultured cell name,
ADR-RES	 377		//cultured cell name,
SK-OV-3	 377		//cultured cell name,
786	 377		//cultured cell name,
A498	 377		//cultured cell name,
RXF 393	 377		//cultured cell name,
SN12C	 377		//cultured cell name,
TK-10	 377		//cultured cell name,
UO-31	 377		//cultured cell name,
PC-3	 377		//cultured cell name,
DU-145	 377		//cultured cell name,
MDA-MB-231	 377		//cultured cell name,
T-47D	 377		//cultured cell name,
scintillation counter	 92		//detection instrument name
ATCC	 377		//cultured cell name,
IgMXP3	 377		//cultured cell name,
CellTiter 96 Reagent	 63		//assay kit name,
RD	 377		//cultured cell name,
CEM-SS	 377		//cultured cell name,
autofluorescence factor	 1733		//direct response,
