Atno	Neutrons	Mass	Abundance
1	0	1.007825032	100.0000
1	1	2.014101778	0.0150
1	2	3.016049268	0
1	3	4.027834627	0
1	4	5.039542911	0
1	5	6.044942608	0
2	1	3.016029310	0.0001
2	2	4.002603250	100.0000
2	3	5.012223628	0
2	4	6.018888072	0
2	5	7.028030527	0
2	6	8.033921838	0
2	7	9.043820323	0
2	8	10.052399713	0
3	1	4.027182329	0
3	2	5.012537796	0
3	3	6.015122281	8.1081
3	4	7.016004049	100.0000
3	5	8.022486670	0
3	6	9.026789122	0
3	7	10.035480884	0
3	8	11.043796166	0
3	9	12.053780	0
4	1	5.040790	0
4	2	6.019725804	0
4	3	7.016929246	0
4	4	8.005305094	0
4	5	9.012182135	100.0000
4	6	10.013533720	0
4	7	11.021657653	0
4	8	12.026920631	0
4	9	13.036133834	0
4	10	14.042815522	0
5	2	7.029917389	0
5	3	8.024606713	0
5	4	9.013328806	0
5	5	10.012937027	24.8439
5	6	11.009305466	100.0000
5	7	12.014352109	0
5	8	13.017780267	0
5	9	14.025404064	0
5	10	15.031097291	0
5	11	16.039808836	0
5	12	17.046931399	0
5	13	18.056170	0
5	14	19.063730	0
6	2	8.037675026	0
6	3	9.031040087	0
6	4	10.016853110	0
6	5	11.011433818	0
6	6	12.000000000000	100.0000
6	7	13.003354838	1.1122
6	8	14.003241988	0
6	9	15.010599258	0
6	10	16.014701243	0
6	11	17.022583712	0
6	12	18.026757058	0
6	13	19.035248094	0
6	14	20.040322395	0
6	15	21.049340	0
6	16	22.056450	0
7	3	10.042618	0
7	4	11.026796226	0
7	5	12.018613202	0
7	6	13.005738584	0
7	7	14.003074005	100.0000
7	8	15.000108898	0.3673
7	9	16.006101417	0
7	10	17.008449673	0
7	11	18.014081827	0
7	12	19.017026896	0
7	13	20.023367295	0
7	14	21.027087574	0
7	15	22.034440259	0
7	16	23.040510	0
7	17	24.050500	0
8	4	12.034404776	0
8	5	13.024810400	0
8	6	14.008595285	0
8	7	15.003065386	0
8	8	15.994914622	100.0000
8	9	16.999131501	0.0381
8	10	17.999160419	0.2005
8	11	19.003578730	0
8	12	20.004076150	0
8	13	21.008654631	0
8	14	22.009967157	0
8	15	23.015691325	0
8	16	24.020369922	0
8	17	25.029140	0
8	18	26.037750	0
9	5	14.036080	0
9	6	15.018010856	0
9	7	16.011465730	0
9	8	17.002095238	0
9	9	18.000937667	0
9	10	18.998403205	100.0000
9	11	19.999981324	0
9	12	20.999948921	0
9	13	22.002999250	0
9	14	23.003574385	0
9	15	24.008099371	0
9	16	25.012094963	0
9	17	26.019633157	0
9	18	27.026892316	0
9	19	28.035670	0
9	20	29.043260	0
10	6	16.025756907	0
10	7	17.017697565	0
10	8	18.005697066	0
10	9	19.001879839	0
10	10	19.992440176	100.0000
10	11	20.993846744	0.2983
10	12	21.991385510	10.1867
10	13	22.994467337	0
10	14	23.993615074	0
10	15	24.997789899	0
10	16	26.000461498	0
10	17	27.007615200	0
10	18	28.012108072	0
10	19	29.019345902	0
10	20	30.023872000	0
10	21	31.033110	0
10	22	32.039910	0
11	7	18.027180	0
11	8	19.013879450	0
11	9	20.007348260	0
11	10	20.997655099	0
11	11	21.994436782	0
11	12	22.989769675	100.0000
11	13	23.990963332	0
11	14	24.989954352	0
11	15	25.992589898	0
11	16	26.994008702	0
11	17	27.998890410	0
11	18	29.002811301	0
11	19	30.009226487	0
11	20	31.013595108	0
11	21	32.019649792	0
11	22	33.027386000	0
11	23	34.034900	0
11	24	35.044180	0
12	8	20.018862744	0
12	9	21.011714174	0
12	10	21.999574055	0
12	11	22.994124850	0
12	12	23.985041898	100.0000
12	13	24.985837023	12.6598
12	14	25.982593040	13.9380
12	15	26.984340742	0
12	16	27.983876703	0
12	17	28.988554743	0
12	18	29.990464529	0
12	19	30.996548459	0
12	20	31.999145889	0
12	21	33.005586975	0
12	22	34.009072440	0
12	23	35.018669000	0
12	24	36.022450	0
12	25	37.031240	0
13	8	21.028040	0
13	9	22.019520	0
13	10	23.007264900	0
13	11	23.999940911	0
13	12	24.990428555	0
13	13	25.986891659	0
13	14	26.981538441	100.0000
13	15	27.981910184	0
13	16	28.980444848	0
13	17	29.982960304	0
13	18	30.983946023	0
13	19	31.988124379	0
13	20	32.990869587	0
13	21	33.996927255	0
13	22	34.999937650	0
13	23	36.006351501	0
13	24	37.010310000	0
13	25	38.016900	0
13	26	39.021900	0
14	8	22.034530	0
14	9	23.025520	0
14	10	24.011545711	0
14	11	25.004106640	0
14	12	25.992329935	0
14	13	26.986704764	0
14	14	27.976926533	100.0000
14	15	28.976494719	5.0634
14	16	29.973770218	3.3612
14	17	30.975363275	0
14	18	31.974148129	0
14	19	32.978000520	0
14	20	33.978575745	0
14	21	34.984584158	0
14	22	35.986687363	0
14	23	36.992995990	0
14	24	37.995980000	0
14	25	39.002300	0
14	26	40.005800	0
14	27	41.012700	0
14	28	42.016100	0
15	9	24.034350	0
15	10	25.020260	0
15	11	26.011780	0
15	12	26.999191645	0
15	13	27.992312330	0
15	14	28.981801376	0
15	15	29.978313807	0
15	16	30.973761512	100.0000
15	17	31.973907163	0
15	18	32.971725281	0
15	19	33.973636381	0
15	20	34.973314249	0
15	21	35.978259824	0
15	22	36.979608338	0
15	23	37.984470000	0
15	24	38.986420000	0
15	25	39.991050000	0
15	26	40.994800000	0
15	27	42.000090	0
15	28	43.003310	0
15	29	44.009880	0
15	30	45.015140	0
15	31	46.023830	0
16	10	26.027880	0
16	11	27.018795	0
16	12	28.004372661	0
16	13	28.996608805	0
16	14	29.984902954	0
16	15	30.979554421	0
16	16	31.972070690	100.0000
16	17	32.971458497	0.7893
16	18	33.967866831	4.4306
16	19	34.969032140	0
16	20	35.967080880	0.0220
16	21	36.971125716	0
16	22	37.971163443	0
16	23	38.975135275	0
16	24	39.975470000	0
16	25	40.980030000	0
16	26	41.981490000	0
16	27	42.986600000	0
16	28	43.988320	0
16	29	44.994820	0
16	30	45.999570	0
16	31	47.007620	0
16	32	48.012990	0
16	33	49.022010	0
17	11	28.028510	0
17	12	29.014110	0
17	13	30.004770	0
17	14	30.992416014	0
17	15	31.985688908	0
17	16	32.977451798	0
17	17	33.973761967	0
17	18	34.968852707	100.0000
17	19	35.968306945	0
17	20	36.965902600	31.9780
17	21	37.968010550	0
17	22	38.968007677	0
17	23	39.970415555	0
17	24	40.970650212	0
17	25	41.973174994	0
17	26	42.974203385	0
17	27	43.978538712	0
