Atno	Neutrons	Mass	Abundance
17	28	44.979700000	0
17	29	45.984120	0
17	30	46.987950	0
17	31	47.994850	0
17	32	48.999890	0
17	33	50.007730	0
17	34	51.013530	0
18	12	30.021560	0
18	13	31.012126	0
18	14	31.997660660	0
18	15	32.989928719	0
18	16	33.980270118	0
18	17	34.975256726	0
18	18	35.967546282	0.3380
18	19	36.966775912	0
18	20	37.962732161	0.0630
18	21	38.964313413	0
18	22	39.962383123	100.0000
18	23	40.964500828	0
18	24	41.963046386	0
18	25	42.965670701	0
18	26	43.965365269	0
18	27	44.968094979	0
18	28	45.968093467	0
18	29	46.972186238	0
18	30	47.975070	0
18	31	48.982180	0
18	32	49.985940	0
18	33	50.993240	0
18	34	51.998170	0
18	35	53.006227	0
19	13	32.021920	0
19	14	33.007260	0
19	15	33.998410	0
19	16	34.988011615	0
19	17	35.981293405	0
19	18	36.973376915	0
19	19	37.969080107	0
19	20	38.963706861	100.0000
19	21	39.963998672	0.0130
19	22	40.961825972	7.2170
19	23	41.962403059	0
19	24	42.960715746	0
19	25	43.961556146	0
19	26	44.960699658	0
19	27	45.961976203	0
19	28	46.961677807	0
19	29	47.965512946	0
19	30	48.967450084	0
19	31	49.972782832	0
19	32	50.976380	0
19	33	51.982610	0
19	34	52.987120	0
19	35	53.993990	0
19	36	54.999388	0
20	14	34.014120	0
20	15	35.004765	0
20	16	35.993087234	0
20	17	36.985871505	0
20	18	37.976318637	0
20	19	38.970717729	0
20	20	39.962591155	100.0000
20	21	40.962278349	0
20	22	41.958618337	0.6674
20	23	42.958766833	0.1393
20	24	43.955481094	2.1518
20	25	44.956185938	0
20	26	45.953692759	0.0041
20	27	46.954546459	0
20	28	47.952533512	0.1929
20	29	48.955673302	0
20	30	49.957518286	0
20	31	50.961474238	0
20	32	51.965100000	0
20	33	52.970050	0
20	34	53.974680	0
20	35	54.980550	0
20	36	55.985790	0
20	37	56.992356	0
21	15	36.014920	0
21	16	37.003050	0
21	17	37.994700	0
21	18	38.984790009	0
21	19	39.977964014	0
21	20	40.969251316	0
21	21	41.965516761	0
21	22	42.961150980	0
21	23	43.959403048	0
21	24	44.955910243	100.0000
21	25	45.955170250	0
21	26	46.952408027	0
21	27	47.952234991	0
21	28	48.950024065	0
21	29	49.952187008	0
21	30	50.953602700	0
21	31	51.956650000	0
21	32	52.958170000	0
21	33	53.963000000	0
21	34	54.969400000	0
21	35	55.972660	0
21	36	56.977040	0
21	37	57.983070	0
21	38	58.988041	0
22	16	38.009770	0
22	17	39.001323	0
22	18	39.990498907	0
22	19	40.983131	0
22	20	41.973031622	0
22	21	42.968523342	0
22	22	43.959690235	0
22	23	44.958124349	0
22	24	45.952629491	10.8401
22	25	46.951763792	9.8916
22	26	47.947947053	100.0000
22	27	48.947870789	7.4526
22	28	49.944792069	7.3171
22	29	50.946616017	0
22	30	51.946898175	0
22	31	52.949731709	0
22	32	53.950870000	0
22	33	54.955120000	0
22	34	55.957990000	0
22	35	56.964300000	0
22	36	57.966110	0
22	37	58.971960	0
22	38	59.975640	0
22	39	60.982018	0
23	17	40.011090	0
23	18	40.999740	0
23	19	41.991230	0
23	20	42.980650	0
23	21	43.974400	0
23	22	44.965782286	0
23	23	45.960199491	0
23	24	46.954906918	0
23	25	47.952254480	0
23	26	48.948516914	0
23	27	49.947162792	0.2510
23	28	50.943963675	100.0000
23	29	51.944779658	0
23	30	52.944342517	0
23	31	53.946444381	0
23	32	54.947238194	0
23	33	55.950360000	0
23	34	56.952360000	0
23	35	57.956650000	0
23	36	58.959300000	0
23	37	59.964500000	0
23	38	60.967410	0
23	39	61.973140	0
23	40	62.976750	0
24	18	42.006430	0
24	19	42.997707	0
24	20	43.985470	0
24	21	44.979160	0
24	22	45.968361649	0
24	23	46.962906512	0
24	24	47.954035861	0
24	25	48.951341135	0
24	26	49.946049607	5.1915
24	27	50.944771767	0
24	28	51.940511904	100.0000
24	29	52.940653781	11.3379
24	30	53.938884921	2.8166
24	31	54.940844164	0
24	32	55.940645238	0
24	33	56.943753800	0
24	34	57.944250000	0
24	35	58.948630000	0
24	36	59.949730000	0
24	37	60.954090000	0
24	38	61.955800000	0
24	39	62.961860	0
24	40	63.964200	0
24	41	64.970370	0
25	19	44.006870	0
25	20	44.994510	0
25	21	45.986720	0
25	22	46.976100	0
25	23	47.968870	0
25	24	48.959623415	0
25	25	49.954243960	0
25	26	50.948215487	0
25	27	51.945570079	0
25	28	52.941294702	0
25	29	53.940363247	0
25	30	54.938049636	100.0000
25	31	55.938909366	0
25	32	56.938287458	0
25	33	57.939986451	0
25	34	58.940447166	0
25	35	59.943193998	0
25	36	60.944460000	0
25	37	61.947970000	0
25	38	62.949810000	0
25	39	63.953730000	0
25	40	64.956100000	0
25	41	65.960820	0
25	42	66.963820	0
26	19	45.014560	0
26	20	46.000810	0
26	21	46.992890	0
26	22	47.980560	0
26	23	48.973610	0
26	24	49.962993316	0
26	25	50.956824936	0
26	26	51.948116526	0
26	27	52.945312282	0
26	28	53.939614836	6.3236
26	29	54.938298029	0
26	30	55.934942133	100.0000
26	31	56.935398707	2.3986
26	32	57.933280458	0.3053
26	33	58.934880493	0
26	34	59.934076943	0
26	35	60.936749461	0
26	36	61.936770495	0
26	37	62.940118442	0
26	38	63.940870000	0
26	39	64.944940000	0
26	40	65.945980000	0
26	41	66.950000000	0
26	42	67.952510	0
26	43	68.957700	0
27	21	48.001760	0
27	22	48.989720	0
27	23	49.981540	0
27	24	50.970720	0
27	25	51.963590	0
27	26	52.954224985	0
27	27	53.948464147	0
27	28	54.942003149	0
27	29	55.939843937	0
27	30	56.936296235	0
27	31	57.935757571	0
27	32	58.933200194	100.0000
27	33	59.933822196	0
27	34	60.932479381	0
27	35	61.934054212	0
27	36	62.933615218	0
27	37	63.935813523	0
27	38	64.936484581	0
27	39	65.939825412	0
27	40	66.940610000	0
27	41	67.944360000	0
27	42	68.945200000	0
27	43	69.949810	0
27	44	70.951730	0
27	45	71.956410	0
28	22	49.995930	0
28	23	50.987720	0
28	24	51.975680	0
28	25	52.968460	0
28	26	53.957910508	0
28	27	54.951336329	0
28	28	55.942136339	0
28	29	56.939800489	0
28	30	57.935347922	100.0000
28	31	58.934351553	0
28	32	59.930790633	38.2305
28	33	60.931060442	1.6552
28	34	61.928348763	5.2585
28	35	62.929672948	0
28	36	63.927969574	1.3329
28	37	64.930088013	0
28	38	65.929115232	0
28	39	66.931569638	0
28	40	67.931844932	0
28	41	68.935181837	0
28	42	69.936140000	0
28	43	70.940000000	0
28	44	71.941300000	0
28	45	72.946080	0
28	46	73.947910	0
28	47	74.952970	0
28	48	75.955330	0
28	49	76.960830	0
28	50	77.963800	0
29	23	51.997180	0
29	24	52.985550	0
29	25	53.976710	0
29	26	54.966050	0
29	27	55.958560	0
29	28	56.949215695	0
29	29	57.944540734	0
29	30	58.939504114	0
29	31	59.937368123	0
29	32	60.933462181	0
29	33	61.932587299	0
29	34	62.929601079	100.0000
29	35	63.929767865	0
29	36	64.927793707	44.5710
29	37	65.928873041	0
29	38	66.927750294	0
29	39	67.929637875	0
29	40	68.929425281	0
29	41	69.932409287	0
29	42	70.932619818	0
29	43	71.935520	0
29	44	72.936490	0
29	45	73.940200	0
29	46	74.941700	0
29	47	75.945990	0
29	48	76.947950	0
29	49	77.952810	0
29	50	78.955280	0
29	51	79.961890	0
30	24	53.992950	0
30	25	54.983980	0
30	26	55.972380	0
30	27	56.964910	0
30	28	57.954596465	0
30	29	58.949267074	0
30	30	59.941832031	0
30	31	60.939513907	0
30	32	61.934334132	0
30	33	62.933215563	0
30	34	63.929146578	100.0000
30	35	64.929245079	0
30	36	65.926036763	57.4074
30	37	66.927130859	8.4362
30	38	67.924847566	38.6831
30	39	68.926553538	0
30	40	69.925324870	1.2346
30	41	70.927727195	0
30	42	71.926861122	0
30	43	72.929779469	0
30	44	73.929458261	0
30	45	74.932937379	0
30	46	75.933394207	0
30	47	76.937085857	0
30	48	77.938569576	0
30	49	78.942095175	0
30	50	79.944414722	0
30	51	80.950480	0
30	52	81.954840	0
31	25	55.994910	0
31	26	56.982930	0
31	27	57.974250	0
31	28	58.963370	0
31	29	59.957060	0
31	30	60.949170	0
31	31	61.944179608	0
31	32	62.939141527	0
31	33	63.936838307	0
31	34	64.932739322	0
31	35	65.931592355	0
31	36	66.928204915	0
31	37	67.927983497	0
31	38	68.925580912	100.0000
31	39	69.926027741	0
31	40	70.924705010	66.3890
31	41	71.926369350	0
31	42	72.925169832	0
31	43	73.926940999	0
31	44	74.926500645	0
31	45	75.928928262	0
31	46	76.929281189	0
31	47	77.931655950	0
31	48	78.932916371	0
31	49	79.936588154	0
31	50	80.937752955	0
31	51	81.943160	0
31	52	82.946870	0
31	53	83.952340	0
32	26	57.991010	0
32	27	58.981750	0
32	28	59.970190	0
32	29	60.963790	0
32	30	61.954650	0
32	31	62.949640	0
32	32	63.941572638	0
32	33	64.939440762	0
32	34	65.933846798	0
32	35	66.932738415	0
32	36	67.928097266	0
32	37	68.927972002	0
32	38	69.924250365	56.1644
32	39	70.924953991	0
32	40	71.922076184	75.0685
32	41	72.923459361	21.3698
32	42	73.921178213	100.0000
32	43	74.922859494	21.3698
32	44	75.921402716	0
32	45	76.923548462	0
32	46	77.922852886	0
32	47	78.925401560	0
32	48	79.925444764	0
32	49	80.928821065	0
32	50	81.929550326	0
32	51	82.934510	0
32	52	83.937310	0
32	53	84.942690	0
32	54	85.946270	0
33	27	59.993130	0
33	28	60.980620	0
33	29	61.973200	0
33	30	62.963690	0
33	31	63.957572	0
33	32	64.949484	0
33	33	65.944099147	0
33	34	66.939190417	0
33	35	67.936792976	0
33	36	68.932280154	0
33	37	69.930927811	0
33	38	70.927114724	0
33	39	71.926752647	0
33	40	72.923825288	0
33	41	73.923929076	0
33	42	74.921596417	100.0000
33	43	75.922393933	0
33	44	76.920647703	0
33	45	77.921828577	0
33	46	78.920948498	0
33	47	79.922578162	0
33	48	80.922132884	0
33	49	81.924504668	0
33	50	82.924980625	0
33	51	83.929060	0
33	52	84.931810	0
33	53	85.936230	0
33	54	86.939580	0
33	55	87.944560	0
33	56	88.949230	0
34	31	64.964660	0
34	32	65.955210	0
34	33	66.950090	0
34	34	67.941870	0
34	35	68.939562155	0
34	36	69.933504	0
34	37	70.931868378	0
34	38	71.927112313	0
34	39	72.926766800	0
34	40	73.922476561	1.8145
34	41	74.922523571	0
34	42	75.919214107	18.1451
34	43	76.919914610	15.3226
34	44	77.917309522	47.3790
34	45	78.918499802	0
34	46	79.916521828	100.0000
34	47	80.917992931	0
34	48	81.916700000	18.9516
34	49	82.919119072	0
34	50	83.918464523	0
34	51	84.922244678	0
34	52	85.924271165	0
34	53	86.928520749	0
34	54	87.931423982	0
34	55	88.936020	0
34	56	89.939420	0
34	57	90.945370	0
34	58	91.949330	0
35	32	66.964790	0
35	33	67.958248	0
35	34	68.950178	0
35	35	69.944208	0
35	36	70.939246	0
35	37	71.936496876	0
35	38	72.931794889	0
35	39	73.929891152	0
35	40	74.925776410	0
35	41	75.924541974	0
35	42	76.921380123	0
35	43	77.921146130	0
35	44	78.918337647	100.0000
35	45	79.918529952	0
35	46	80.916291060	97.2776
35	47	81.916804666	0
35	48	82.915180219	0
35	49	83.916503685	0
35	50	84.915608027	0
35	51	85.918797162	0
35	52	86.920710713	0
35	53	87.924065908	0
35	54	88.926387260	0
35	55	89.930634988	0
35	56	90.933965300	0
35	57	91.939255258	0
35	58	92.943100	0
35	59	93.948680	0
36	33	68.965320	0
36	34	69.956010	0
36	35	70.950510	0
36	36	71.941907540	0
36	37	72.938931115	0
36	38	73.933258225	0
36	39	74.931033794	0
36	40	75.925948304	0
36	41	76.924667880	0
36	42	77.920386271	85.9106140
36	43	78.920082992	0
36	44	79.916378040	0.6140
36	45	80.916592419	0
36	46	81.913484601	3.9474
36	47	82.914135952	20.3509
36	48	83.911506627	100.0000
36	49	84.912526954	0
36	50	85.910610313	30.3509
36	51	86.913354251	0
36	52	87.914446951	0
36	53	88.917632505	0
36	54	89.919523803	0
36	55	90.923442418	0
36	56	91.926152752	0
36	57	92.931265246	0
36	58	93.934362	0
36	59	94.939840	0
36	60	95.943070	0
36	61	96.948560	0
37	34	70.965320	0
37	35	71.959080	0
37	36	72.950366	0
37	37	73.944470376	0
37	38	74.938569199	0
37	39	75.935071448	0
37	40	76.930406599	0
37	41	77.928141485	0
37	42	78.923996719	0
37	43	79.922519322	0
37	44	80.918994165	0
37	45	81.918207691	0
37	46	82.915111951	0
37	47	83.914384676	0
37	48	84.911789341	100.0000
37	49	85.911167080	0
37	50	86.909183465	38.5710
37	51	87.911318556	0
37	52	88.912279939	0
37	53	89.914808941	0
37	54	90.916534160	0
37	55	91.919725442	0
37	56	92.922032765	0
37	57	93.926407326	0
37	58	94.929319260	0
37	59	95.934283962	0
37	60	96.937342863	0
37	61	97.941703557	0
37	62	98.945420616	0
37	63	99.949870	0
37	64	100.953195994	0
37	65	101.959210	0
38	35	72.965970	0
38	36	73.956310	0
38	37	74.949920	0
38	38	75.941610	0
38	39	76.937761511	0
38	40	77.932179362	0
38	41	78.929707076	0
38	42	79.924524588	0
38	43	80.923213095	0
38	44	81.918401258	0
38	45	82.917555029	0
38	46	83.913424778	0.6781
38	47	84.912932689	0
38	48	85.909262351	11.9399
38	49	86.908879316	8.4766
38	50	87.905614339	100.0000
38	51	88.907452906	0
38	52	89.907737596	0
38	53	90.910209845	0
38	54	91.911029895	0
38	55	92.914022410	0
38	56	93.915359856	0
38	57	94.919358213	0
38	58	95.921680473	0
38	59	96.926148757	0
38	60	97.928471177	0
38	61	98.933315038	0
38	62	99.935351729	0
38	63	100.940517434	0
38	64	101.943018795	0
38	65	102.948950	0
38	66	103.952330	0
39	38	76.949620	0
39	39	77.943500	0
39	40	78.937350712	0
39	41	79.931982402	0
39	42	80.929128719	0
39	43	81.926792071	0
39	44	82.922352572	0
39	45	83.920387768	0
39	46	84.916427076	0
39	47	85.914887724	0
39	48	86.910877833	0
39	49	87.909503361	0
39	50	88.905847902	100.0000
39	51	89.907151443	0
39	52	90.907303415	0
39	53	91.908946832	0
39	54	92.909581582	0
39	55	93.911594008	0
39	56	94.912823709	0
39	57	95.915897787	0
39	58	96.918131017	0
39	59	97.922219525	0
39	60	98.924634736	0
39	61	99.927756402	0
39	62	100.930313395	0
39	63	101.933555501	0
39	64	102.936940	0
39	65	103.941450	0
39	66	104.945090	0
39	67	105.950220	0
40	39	78.949160	0
40	40	79.940550	0
40	41	80.936815296	0
40	42	81.931086249	0
40	43	82.928652130	0
40	44	83.923250	0
40	45	84.921465220	0
40	46	85.916472851	0
40	47	86.914816578	0
40	48	87.910226179	0
40	49	88.908888916	0
40	50	89.904703679	100.0000
40	51	90.905644968	21.9048
40	52	91.905040106	33.3822
40	53	92.906475627	0
40	54	93.906315765	33.6832
40	55	94.908042739	0
40	56	95.908275675	5.4033
40	57	96.910950716	0
40	58	97.912746366	0
40	59	98.916511084	0
40	60	99.917761704	0
40	61	100.921139958	0
40	62	101.922981089	0
40	63	102.926597062	0
40	64	103.928780	0
40	65	104.933050	0
40	66	105.935910	0
40	67	106.940860	0
40	68	107.944280	0
41	40	80.949050	0
41	41	81.943130	0
41	42	82.936703713	0
41	43	83.933570	0
41	44	84.927906486	0
41	45	85.925037588	0
41	46	86.920361435	0
41	47	87.918331440	0
41	48	88.913495503	0
41	49	89.911264109	0
41	50	90.906990538	0
41	51	91.907193214	0
41	52	92.906377543	100.0000
41	53	93.907283457	0
41	54	94.906835178	0
41	55	95.908100076	0
41	56	96.908097144	0
41	57	97.910330690	0
41	58	98.911617864	0
41	59	99.914181434	0
41	60	100.915251567	0
41	61	101.918037417	0
41	62	102.919141297	0
41	63	103.922459464	0
41	64	104.923934023	0
41	65	105.928190	0
41	66	106.930310	0
41	67	107.935010	0
41	68	108.937630	0
41	69	109.942680	0
42	41	82.948740	0
42	42	83.940090	0
42	43	84.936590	0
42	44	85.930695167	0
42	45	86.927326830	0
42	46	87.921952728	0
42	47	88.919480562	0
42	48	89.913936161	0
42	49	90.911750754	0
42	50	91.906810480	61.5002
42	51	92.906812213	0
42	52	93.905087578	38.3340
42	53	94.905841487	65.9760
42	54	95.904678904	69.1256
42	55	96.906021033	39.5773
42	56	97.905407846	100.0000
42	57	98.907711598	0
42	58	99.907477149	39.9088
42	59	100.910346543	0
42	60	101.910297162	0
42	61	102.913204596	0
42	62	103.913758387	0
42	63	104.916972087	0
42	64	105.918134284	0
42	65	106.921694724	0
42	66	107.923973837	0
42	67	108.927810	0
42	68	109.929730	0
42	69	110.934510	0
42	70	111.936840	0
42	71	112.942030	0
43	42	84.948940	0
43	43	85.942880	0
43	44	86.936530	0
43	45	87.932830	0
43	46	88.927542880	0
43	47	89.923555830	0
43	48	90.918428200	0
43	49	91.915259655	0
43	50	92.910248473	0
43	51	93.909656309	0
43	52	94.907656454	0
43	53	95.907870803	0
43	54	96.906364843	0
43	55	97.907215692	0
43	56	98.906254554	0
43	57	99.907657594	0
43	58	100.907314380	0
43	59	101.909212938	0
43	60	102.909178805	0
43	61	103.911444898	0
43	62	104.911658043	0
43	63	105.914355408	0
43	64	106.915081691	0
43	65	107.918479973	0
43	66	108.919980998	0
43	67	109.923390	0
43	68	110.925050	0
43	69	111.929240	0
43	70	112.931330	0
43	71	113.935880	0
43	72	114.938280	0
44	43	86.949180	0
44	44	87.940420	0
44	45	88.936110	0
44	46	89.929780	0
44	47	90.926377434	0
44	48	91.920120	0
44	49	92.917051523	0
44	50	93.911359569	0
44	51	94.910412729	0
44	52	95.907597681	17.4684
44	53	96.907554546	0
44	54	97.905287111	5.9494
44	55	98.905939307	40.1899
44	56	99.904219664	39.8734
44	57	100.905582219	53.7975
44	58	101.904349503	100.0000
44	59	102.906323677	0
44	60	103.905430145	59.1772
44	61	104.907750341	0
44	62	105.907326913	0
44	63	106.909907207	0
44	64	107.910192211	0
44	65	108.913201565	0
44	66	109.913966185	0
44	67	110.917560	0
44	68	111.918821673	0
44	69	112.922540	0
44	70	113.923891981	0
44	71	114.928310	0
44	72	115.930160	0
44	73	116.934790	0
44	74	117.937030	0
45	44	88.949380	0
45	45	89.942870	0
45	46	90.936550	0
45	47	91.931980	0
45	48	92.925740	0
45	49	93.921698	0
45	50	94.915898541	0
45	51	95.914518212	0
45	52	96.911336643	0
45	53	97.910716431	0
45	54	98.908132101	0
45	55	99.908116630	0
45	56	100.906163526	0
45	57	101.906842845	0
45	58	102.905504182	100.0000
45	59	103.906655315	0
45	60	104.905692444	0
45	61	105.907284615	0
45	62	106.906750540	0
45	63	107.908730768	0
45	64	108.908735621	0
45	65	109.910949525	0
45	66	110.911660	0
45	67	111.913969253	0
45	68	112.915420	0
45	69	113.917343360	0
45	70	114.920124676	0
45	71	115.922746643	0
45	72	116.925350	0
45	73	117.929430	0
45	74	118.931360	0
45	75	119.935780	0
45	76	120.938080	0
46	45	90.949480	0
46	46	91.940420	0
46	47	92.935910	0
46	48	93.928770	0
46	49	94.924690	0
46	50	95.918221940	0
46	51	96.916478921	0
46	52	97.912720751	0
46	53	98.911767757	0
46	54	99.908504596	0
46	55	100.908289144	0
46	56	101.905607716	3.7322
46	57	102.906087204	0
46	58	103.904034912	40.7611
46	59	104.905084046	81.7051
46	60	105.903483087	100.0000
46	61	106.905128453	0
46	62	107.903894451	96.8167
46	63	108.905953535	0
46	64	109.905152385	42.8833
46	65	110.907643952	0
46	66	111.907313277	0
46	67	112.910151346	0
46	68	113.910365322	0
46	69	114.913683410	0
46	70	115.914158288	0
46	71	116.917840	0
46	72	117.918983915	0
46	73	118.922680	0
46	74	119.924030	0
46	75	120.928180	0
46	76	121.929800	0
46	77	122.934260	0
47	47	93.942780	0
47	48	94.935480	0
47	49	95.930680	0
47	50	96.924000	0
47	51	97.921759995	0
47	52	98.917597103	0
47	53	99.916069387	0
47	54	100.912802135	0
47	55	101.911999996	0
47	56	102.908972453	0
47	57	103.908628228	0
47	58	104.906528234	0
47	59	105.906666431	0
47	60	106.905093020	100.0000
47	61	107.905953705	0
47	62	108.904755514	92.9050
47	63	109.906110460	0
47	64	110.905294679	0
47	65	111.907004132	0
47	66	112.906565708	0
47	67	113.908807907	0
47	68	114.908762282	0
47	69	115.911359558	0
47	70	116.911684187	0
47	71	117.914582383	0
47	72	118.915666045	0
47	73	119.918788609	0
47	74	120.919851074	0
47	75	121.923320	0
47	76	122.924900	0
47	77	123.928530	0
47	78	124.930540	0
47	79	125.934500	0
47	80	126.936880	0
48	48	95.939770	0
48	49	96.934940	0
48	50	97.927579	0
48	51	98.925010	0
48	52	99.920230232	0
48	53	100.918681442	0
48	54	101.914777255	0
48	55	102.913418952	0
48	56	103.909848091	0
48	57	104.909467818	0
48	58	105.906458007	4.3508
48	59	106.906614232	0
48	60	107.904183403	3.0978
48	61	108.904985569	0
48	62	109.903005578	43.4737
48	63	110.904181628	44.5527
48	64	111.902757226	83.9888
48	65	112.904400947	42.5339
48	66	113.903358121	100.0000
48	67	114.905430553	0
48	68	115.904755434	26.0703
48	69	116.907218242	0
48	70	117.906914144	0
48	71	118.909922582	0
48	72	119.909851352	0
48	73	120.912980390	0
48	74	121.913500	0
48	75	122.917003675	0
48	76	123.917648302	0
48	77	124.921247170	0
48	78	125.922353996	0
48	79	126.926434822	0
