
| Loading Grails 2.2.1
| Configuring classpath
| Configuring classpath.
| Environment set to dataqa
| Environment set to dataqa.
| Environment set to dataqa..
| Environment set to dataqa...
| Environment set to dataqa....
| Environment set to dataqa.....
| Packaging Grails application
| Packaging Grails application.
| Packaging Grails application..
| Packaging Grails application...
| Packaging Grails application....
| Packaging Grails application.....
Overriding Config.groovy with /Users/xiaorong/.grails/MinAssayAnnotParser/MinAssayAnnotParser-commons-config.groovy
Overriding Config.groovy with /Users/xiaorong/.grails/MinAssayAnnotParser/MinAssayAnnotParser-dataqa-config.groovy
| Packaging Grails application
| Packaging Grails application.
| Packaging Grails application..
| Packaging Grails application...
| Packaging Grails application....
| Packaging Grails application.....
in build external term mapping
| Running script scripts/maas/LoadExperimentContext.groovy ...
loading files from directory: data/maas/maasDataset2/ contains 29
loading 29 files found in 1 directories
Success Saved expriment 3337 with aid 1480, # new contexts 1, # new ContextItem 3, # duplicate ContextItem 0
Success Saved expriment 3340 with aid 1483, # new contexts 1, # new ContextItem 3, # duplicate ContextItem 0
Success Saved expriment 2448 with aid 2757, # new contexts 1, # new ContextItem 2, # duplicate ContextItem 0
Success Saved expriment 686 with aid 463227, # new contexts 1, # new ContextItem 3, # duplicate ContextItem 0
Success Saved expriment 687 with aid 463228, # new contexts 1, # new ContextItem 3, # duplicate ContextItem 0
Success Saved expriment 825 with aid 488818, # new contexts 1, # new ContextItem 2, # duplicate ContextItem 0
Success Saved expriment 836 with aid 488829, # new contexts 1, # new ContextItem 2, # duplicate ContextItem 0
Success Saved expriment 761 with aid 488987, # new contexts 1, # new ContextItem 3, # duplicate ContextItem 0
Success Saved expriment 1511 with aid 504425, # new contexts 1, # new ContextItem 2, # duplicate ContextItem 0
Success Saved expriment 1512 with aid 504426, # new contexts 1, # new ContextItem 2, # duplicate ContextItem 0
Success Saved expriment 1549 with aid 504463, # new contexts 1, # new ContextItem 2, # duplicate ContextItem 0
Success Saved expriment 1559 with aid 504473, # new contexts 1, # new ContextItem 2, # duplicate ContextItem 0
Success Saved expriment 1283 with aid 504479, # new contexts 1, # new ContextItem 2, # duplicate ContextItem 0
Success Saved expriment 1285 with aid 504481, # new contexts 1, # new ContextItem 2, # duplicate ContextItem 0
