AID	TEAM
aid=2405	TEAM_SRI
aid=2402	TEAM_SRI
aid=2244	TEAM_SRI
aid=624174	TEAM_SCRIPPS
aid=1511	TEAM_HOPKINS
aid=602226	TEAM_SCRIPPS
aid=434939	TEAM_SCRIPPS
aid=2845	TEAM_SCRIPPS
aid=504659	TEAM_NCGC
aid=1484	TEAM_NCGC
aid=504386	TEAM_NCGC
aid=2384	TEAM_SRI
aid=1874	TEAM_SRI
aid=463176	TEAM_SRI
aid=434996	TEAM_SRI
aid=1683	TEAM_UNM
aid=2145	TEAM_UNM
aid=708	TEAM_SRI
aid=947	TEAM_NCGC
aid=955	TEAM_NCGC
aid=1789	TEAM_SCRIPPS
aid=1434	TEAM_VANDERBILT
aid=623890	TEAM_VANDERBILT
aid=504572	TEAM_HOPKINS
aid=2553	TEAM_HOPKINS
aid=2667	TEAM_NCGC
aid=1779	TEAM_BURNHAM
aid=602391	TEAM_NCGC
aid=1531	TEAM_UNM
aid=493206	TEAM_NCGC
aid=2705	TEAM_NCGC
aid=504421	TEAM_NCGC
aid=504430	TEAM_NCGC
aid=504429	TEAM_NCGC
aid=1969	TEAM_NCGC
aid=976	TEAM_NCGC
aid=980	TEAM_NCGC
aid=967	TEAM_NCGC
aid=965	TEAM_NCGC
aid=665	TEAM_NCGC
aid=657	TEAM_NCGC
aid=435	TEAM_NCGC
aid=433	TEAM_NCGC
aid=410	TEAM_NCGC
aid=493211	TEAM_HOPKINS
aid=492994	TEAM_HOPKINS
aid=2247	TEAM_HOPKINS
aid=504655	TEAM_SRI
aid=493088	TEAM_SRI
aid=2078	TEAM_SCRIPPS
aid=1305	TEAM_SRI
aid=868	TEAM_SRI
aid=1880	TEAM_SCRIPPS
aid=2245	TEAM_BURNHAM
aid=2789	TEAM_BURNHAM
aid=588	TEAM_NCGC
aid=918	TEAM_NCGC
aid=451	TEAM_NCGC
aid=357	TEAM_NCGC
aid=602209	TEAM_SCRIPPS
aid=588717	TEAM_SCRIPPS
aid=504834	TEAM_NCGC
aid=2337	TEAM_BURNHAM
aid=2800	TEAM_BURNHAM
aid=821	TEAM_SRI
aid=789	TEAM_SRI
aid=738	TEAM_SRI
aid=2507	TEAM_NCGC
aid=2288	TEAM_NCGC
aid=540309	TEAM_SCRIPPS
aid=829	TEAM_PENN
aid=1235	TEAM_PENN
aid=873	TEAM_PENN
aid=485276	TEAM_SRI
aid=2102	TEAM_SRI
aid=504393	TEAM_BURNHAM
aid=2786	TEAM_NCGC
aid=488815	TEAM_BROAD
aid=1722	TEAM_NCGC
aid=838	TEAM_SRI
aid=814	TEAM_SRI
aid=742	TEAM_SRI
aid=837	TEAM_SCRIPPS
aid=812	TEAM_SRI
aid=809	TEAM_SRI
aid=501	TEAM_PENN
aid=825	TEAM_PENN
aid=1717	TEAM_VANDERBILT
aid=1735	TEAM_VANDERBILT
aid=1991	TEAM_BURNHAM
aid=1397	TEAM_SCRIPPS
aid=623964	TEAM_SCRIPPS
aid=602275	TEAM_SCRIPPS
aid=562	TEAM_PITT
aid=915	TEAM_NCGC
aid=954	TEAM_NCGC
aid=896	TEAM_NCGC
aid=570	TEAM_SCRIPPS
aid=602309	TEAM_SCRIPPS
aid=624163	TEAM_SCRIPPS
aid=602392	TEAM_NCGC
aid=1791	TEAM_SCRIPPS
aid=1551	TEAM_SCRIPPS
aid=1481	TEAM_SCRIPPS
aid=488913	TEAM_NCGC
aid=681	TEAM_SCRIPPS
aid=1658	TEAM_BURNHAM
aid=504440	TEAM_BURNHAM
aid=493092	TEAM_BURNHAM
aid=463183	TEAM_BURNHAM
aid=463099	TEAM_SCRIPPS
aid=488924	TEAM_HOPKINS
aid=2777	TEAM_HOPKINS
aid=2779	TEAM_HOPKINS
aid=435001	TEAM_SRI
aid=588657	TEAM_SCRIPPS
aid=588659	TEAM_SCRIPPS
aid=488787	TEAM_BROAD
aid=623997	TEAM_NCGC
aid=602452	TEAM_NCGC
aid=624389	TEAM_NCGC
aid=624388	TEAM_NCGC
aid=1640	TEAM_BURNHAM
aid=2767	TEAM_SCRIPPS
aid=2039	TEAM_UNM
aid=569	TEAM_PITT
aid=764	TEAM_UNM
aid=1736	TEAM_VANDERBILT
aid=2308	TEAM_NCGC
aid=485273	TEAM_BURNHAM
aid=434980	TEAM_BURNHAM
aid=2489	TEAM_BURNHAM
aid=504707	TEAM_SCRIPPS
aid=588839	TEAM_SCRIPPS
aid=624301	TEAM_SCRIPPS
aid=588799	TEAM_SCRIPPS
aid=504790	TEAM_SCRIPPS
aid=624302	TEAM_SCRIPPS
aid=588822	TEAM_SCRIPPS
aid=504404	TEAM_NCGC
aid=504391	TEAM_NCGC
aid=588336	TEAM_SCRIPPS
aid=624393	TEAM_SCRIPPS
aid=463094	TEAM_SCRIPPS
aid=588585	TEAM_SCRIPPS
aid=463110	TEAM_SCRIPPS
aid=2678	TEAM_BURNHAM
aid=435015	TEAM_SCRIPPS
aid=504542	TEAM_BURNHAM
aid=540251	TEAM_SCRIPPS
aid=504727	TEAM_BROAD
aid=504423	TEAM_BROAD
aid=602267	TEAM_BROAD
aid=2760	TEAM_SCRIPPS
aid=488975	TEAM_HOPKINS
aid=504833	TEAM_HOPKINS
aid=434989	TEAM_SCRIPPS
aid=493026	TEAM_HOPKINS
aid=2156	TEAM_HOPKINS
aid=504564	TEAM_SRI
aid=2629	TEAM_BROAD
aid=588361	TEAM_BROAD
aid=624086	TEAM_BROAD
aid=623998	TEAM_BROAD
aid=504769	TEAM_SRI
aid=602331	TEAM_NCGC
aid=485359	TEAM_NCGC
aid=602300	TEAM_SCRIPPS
aid=588807	TEAM_SCRIPPS
aid=434938	TEAM_BROAD
aid=2423	TEAM_BROAD
aid=488933	TEAM_BROAD
aid=488911	TEAM_BROAD
aid=504495	TEAM_SCRIPPS
aid=588458	TEAM_BURNHAM
aid=602199	TEAM_NCGC
aid=540335	TEAM_BROAD
aid=1563	TEAM_SCRIPPS
aid=504486	TEAM_SCRIPPS
aid=504511	TEAM_SCRIPPS
aid=504483	TEAM_SCRIPPS
aid=492971	TEAM_SCRIPPS
aid=449773	TEAM_SCRIPPS
aid=602431	TEAM_SRI
aid=1515	TEAM_SCRIPPS
aid=504400	TEAM_SCRIPPS
aid=493121	TEAM_BURNHAM
aid=540334	TEAM_BURNHAM
aid=488895	TEAM_BROAD
aid=485297	TEAM_NCGC
aid=540298	TEAM_SRI
aid=504668	TEAM_BURNHAM
aid=488903	TEAM_BURNHAM
aid=488915	TEAM_BURNHAM
aid=434986	TEAM_BURNHAM
aid=504492	TEAM_BURNHAM
aid=504762	TEAM_BURNHAM
aid=1686	TEAM_SCRIPPS
aid=1523	TEAM_SCRIPPS
aid=2234	TEAM_SCRIPPS
aid=602283	TEAM_HOPKINS
aid=449749	TEAM_BROAD
aid=493243	TEAM_BROAD
aid=588576	TEAM_BURNHAM
aid=588592	TEAM_BURNHAM
