PROJECT_ID	EXPERIMENT_ID	EXT_ASSAY_REF
	2297	aid=602176
	2298	aid=602177
	2299	aid=602178
	2311	aid=602197
	2312	aid=602198
	2338	aid=2603
	2342	aid=2607
	2343	aid=2608
	2344	aid=2609
	2345	aid=2610
	2346	aid=2611
	2355	aid=2620
	2356	aid=2621
	2357	aid=2622
	2358	aid=2623
	2359	aid=2624
	2360	aid=2625
	2371	aid=2677
	2374	aid=2680
	2382	aid=2688
	2384	aid=2690
	2386	aid=2692
	2388	aid=2694
	2400	aid=2706
	2406	aid=2712
	2407	aid=2713
	2412	aid=2719
	2432	aid=2740
	2433	aid=2741
	2434	aid=2742
	2435	aid=2743
	2436	aid=2744
	2437	aid=2745
	2443	aid=2752
	2448	aid=2757
	2452	aid=2502
	2456	aid=2506
	2460	aid=2510
	2463	aid=2513
	2464	aid=2514
	2465	aid=2515
	2467	aid=2517
	2473	aid=2523
	2478	aid=2528
	2481	aid=2532
	2482	aid=2533
	2483	aid=2534
	2484	aid=2535
	2485	aid=2536
	2487	aid=2538
	2488	aid=2539
	2490	aid=2541
	2496	aid=2770
	2499	aid=2773
	1	aid=588775
	4	aid=588783
	34	aid=624122
	75	aid=624243
	76	aid=624244
	77	aid=624245
	88	aid=624256
	108	aid=588604
	110	aid=588606
	112	aid=588608
	116	aid=588620
	140	aid=588685
	156	aid=588720
	163	aid=588763
	165	aid=588765
	195	aid=602304
	201	aid=602325
	202	aid=602326
	203	aid=602327
	204	aid=602328
	223	aid=623882
	229	aid=623947
	231	aid=623955
	232	aid=623957
	241	aid=623992
	242	aid=623994
	244	aid=623996
	323	aid=361
	7161	aid=488922
	7163	aid=492992
	7164	aid=492997
	7165	aid=504846
	7166	aid=504902
	7167	aid=504920
	7168	aid=504922
	7169	aid=540321
	7170	aid=540322
	7171	aid=540323
	7172	aid=540324
	7173	aid=588724
	7174	aid=588741
	7175	aid=588759
	7176	aid=588760
	7177	aid=588761
	7178	aid=588776
	7179	aid=623881
	7180	aid=623883
	7181	aid=623884
	7182	aid=623886
	7183	aid=623887
	7184	aid=623894
	7185	aid=623898
	7186	aid=623912
	7187	aid=623913
	7188	aid=623914
	7189	aid=623915
	7190	aid=624121
	7519	aid=624140
	7520	aid=624254
	7521	aid=624255
	7522	aid=588639
	7523	aid=588641
	7524	aid=588645
	7525	aid=588647
	7526	aid=588683
	7527	aid=588702
	7528	aid=588703
	7529	aid=588704
	7530	aid=588705
	7531	aid=602389
	7532	aid=463112
	7533	aid=488879
	7534	aid=488881
	7535	aid=488885
	7536	aid=488891
	7537	aid=689
	7538	aid=690
	7539	aid=436
	7540	aid=441
	7541	aid=449
	7542	aid=463206
	7543	aid=463229
	7544	aid=485272
	7545	aid=485294
	7546	aid=488985
	7547	aid=488986
	7548	aid=488785
	7549	aid=488796
	7550	aid=488811
	7551	aid=488834
	7552	aid=488844
	7553	aid=488845
	7554	aid=488846
	7555	aid=488848
	7556	aid=488849
	7557	aid=488850
	7558	aid=488851
	7559	aid=488852
	7560	aid=488853
	7561	aid=488854
	7562	aid=488858
	7563	aid=488864
	7564	aid=488865
	7565	aid=488866
	7566	aid=488867
	7567	aid=488868
	7568	aid=488870
	7569	aid=488876
	7570	aid=489012
	7571	aid=489024
	7572	aid=485341
	7573	aid=485344
	7574	aid=485364
	7575	aid=488748
	7576	aid=488897
	7577	aid=488898
	7578	aid=488902
	7579	aid=488906
	7580	aid=488914
	7581	aid=488931
	7582	aid=488934
	7583	aid=488936
	7584	aid=488945
	7585	aid=488948
	7586	aid=488951
	7587	aid=488965
	7588	aid=492970
	7589	aid=492982
	7590	aid=492985
	7591	aid=493031
	7592	aid=493100
	7593	aid=493135
	7594	aid=493136
	7595	aid=493144
	7596	aid=493148
	7597	aid=493176
	7598	aid=493183
	7599	aid=489026
	7600	aid=489033
	7601	aid=489035
	7602	aid=489036
	7603	aid=489037
	7604	aid=489038
	7605	aid=489039
	7606	aid=489040
	7607	aid=489041
	7608	aid=489043
	7609	aid=492948
	7610	aid=492949
	7611	aid=492954
	7612	aid=492962
