PROJECT_ID	EXPERIMENT_ID	EXT_ASSAY_REF
	7613	aid=504487
	7614	aid=493226
	7615	aid=493231
	7616	aid=493251
	7617	aid=504325
	7618	aid=504342
	7619	aid=504343
	7620	aid=504344
	7621	aid=504345
	7622	aid=504346
	7623	aid=504347
	7624	aid=504348
	7625	aid=504351
	7626	aid=504353
	7627	aid=504354
	7628	aid=504356
	7629	aid=504359
	7630	aid=504360
	7631	aid=504365
	7632	aid=504514
	7633	aid=504517
	7634	aid=504523
	7635	aid=504524
	7636	aid=504532
	7637	aid=504533
	7638	aid=504535
	7639	aid=493196
	7640	aid=493202
	7641	aid=493068
	7642	aid=504407
	7643	aid=504409
	7644	aid=504412
	7645	aid=504413
	7646	aid=504415
	7647	aid=504449
	7648	aid=504450
	7649	aid=504623
	7650	aid=504664
	7651	aid=504665
	7652	aid=504666
	7653	aid=504667
	7654	aid=504671
	7655	aid=504392
	7656	aid=504396
	7657	aid=504403
	7658	aid=504405
	7659	aid=504745
	7660	aid=504746
	7661	aid=504747
	7662	aid=504748
	7663	aid=504753
	7664	aid=504765
	7665	aid=504788
	7666	aid=504789
	7667	aid=504792
	7668	aid=504862
	7669	aid=504863
	7670	aid=504942
	7671	aid=504944
	7672	aid=588436
	7673	aid=588487
	7674	aid=588488
	7675	aid=504690
	7676	aid=2398
	7677	aid=540252
	7678	aid=540269
	7679	aid=602243
	7680	aid=2613
	7681	aid=2762
	7682	aid=2763
	7683	aid=2764
	7684	aid=2765
	7685	aid=2717
	7686	aid=2509
	7687	aid=2511
	7688	aid=2518
	4875	aid=1742
	4876	aid=1772
	4922	aid=1908
	4976	aid=2407
	4999	aid=1473
	5000	aid=1474
	5001	aid=1475
	5002	aid=1482
	5004	aid=1485
	5006	aid=1504
	5157	aid=588392
	5162	aid=588403
	5188	aid=588468
	5197	aid=588482
	5214	aid=588540
	5215	aid=588548
	5217	aid=588553
	5355	aid=504929
	5356	aid=504930
	5359	aid=504935
	5360	aid=504938
	5371	aid=540282
	5372	aid=540283
	5373	aid=540284
	5374	aid=540285
	5375	aid=540286
	5376	aid=540287
	5377	aid=540289
	5378	aid=540290
	5379	aid=540291
	5380	aid=540292
	5381	aid=540293
	5382	aid=540294
	5390	aid=540314
	5391	aid=540315
	5392	aid=540316
	5393	aid=540318
	5409	aid=540354
	5494	aid=588754
	4289	aid=2080
	4297	aid=2088
	4298	aid=2089
	4309	aid=2100
	4310	aid=2101
	4316	aid=2107
	4318	aid=2109
	4319	aid=2110
	4320	aid=2111
	4321	aid=2112
	4322	aid=2113
	4324	aid=2115
	4325	aid=2116
	4337	aid=2128
	4347	aid=1884
	4350	aid=1887
	4351	aid=1888
	4362	aid=1899
	4369	aid=1994
	4382	aid=2142
	4386	aid=2147
	4393	aid=2154
	4394	aid=2155
	4396	aid=2157
	4397	aid=2158
	4398	aid=2159
	4400	aid=2161
	4411	aid=1999
	4413	aid=2002
	4414	aid=2003
	4420	aid=2009
	4426	aid=2015
	4427	aid=2016
	4430	aid=2019
	4431	aid=2020
	4432	aid=2021
	4433	aid=2022
	4434	aid=2023
	4436	aid=2025
	4438	aid=2027
	4440	aid=2029
	4444	aid=2033
	4458	aid=2239
	4459	aid=2242
	4486	aid=2270
	4487	aid=2271
	4488	aid=2272
	4489	aid=2273
	4490	aid=2274
	4497	aid=2282
	4498	aid=2283
	4502	aid=2287
	4508	aid=2293
	4510	aid=2295
	2839	aid=434972
	2841	aid=434974
	2859	aid=434992
	2860	aid=434993
	2861	aid=434994
	2864	aid=434997
	2869	aid=435002
	2876	aid=435009
	2880	aid=435013
	2882	aid=611
	2901	aid=631
	2927	aid=699
	2928	aid=700
	2930	aid=702
	2931	aid=703
	2950	aid=722
	2951	aid=723
	2952	aid=724
	2953	aid=725
	2957	aid=729
	2968	aid=740
	2982	aid=757
	2984	aid=759
	2985	aid=760
	2986	aid=761
	5957	aid=623880
	5973	aid=602285
	5976	aid=624022
	5977	aid=624024
	5979	aid=624026
	5981	aid=624029
	5982	aid=602134
	5984	aid=623895
	5993	aid=602138
	6018	aid=624007
	6019	aid=624010
	6024	aid=624015
	6025	aid=602152
	6026	aid=399
	6027	aid=696
	6028	aid=1817
	6029	aid=1984
	6030	aid=608
	6031	aid=1628
	6032	aid=624291
	6033	aid=2127
	6034	aid=2141
	6035	aid=2005
	6036	aid=454
	6037	aid=455
	6038	aid=456
	6039	aid=457
	6048	aid=602175
	1854	aid=588368
	1856	aid=588370
	1874	aid=504864
	1875	aid=504865
	1884	aid=504874
	1909	aid=504900
	1912	aid=504904
	1913	aid=504905
	1916	aid=504908
	1922	aid=504914
	1932	aid=504926
	1933	aid=504927
	1934	aid=504931
	1936	aid=504936
	1942	aid=540246
	1959	aid=588407
	1960	aid=588408
	1963	aid=588411
	1964	aid=588412
	1968	aid=588428
	1973	aid=588435
	1983	aid=588446
	1985	aid=588448
	1986	aid=588450
	1991	aid=588457
	1993	aid=588459
	1994	aid=588460
	1995	aid=588461
	1998	aid=588465
	1999	aid=588466
	2014	aid=588494
	2015	aid=588496
	2016	aid=588497
	2035	aid=504692
	2045	aid=540326
	2046	aid=540327
	2055	aid=540341
	2065	aid=540358
	2067	aid=540361
	2075	aid=540370
	3300	aid=1300
	3309	aid=1309
	3318	aid=1318
	3319	aid=1319
	3320	aid=1320
	3321	aid=1321
	3322	aid=1322
	3324	aid=1324
	3325	aid=1325
	3326	aid=1326
	3328	aid=1328
	3329	aid=1329
	3330	aid=1330
	3332	aid=1333
	3333	aid=1334
	3334	aid=1335
	3336	aid=1337
	3337	aid=1480
	3340	aid=1483
	3366	aid=843
	3377	aid=854
	3386	aid=863
	3393	aid=871
	3394	aid=872
	3396	aid=874
	3397	aid=875
	3407	aid=886
	3408	aid=887
	3413	aid=892
	3414	aid=893
	3415	aid=894
	3426	aid=905
	3427	aid=906
	3428	aid=907
	3431	aid=910
	3436	aid=916
	3445	aid=925
	3450	aid=930
	3451	aid=931
	3452	aid=932
	3470	aid=950
	3472	aid=952
	3478	aid=958
	3812	aid=1510
	3824	aid=1340
	3869	aid=1385
	3882	aid=1398
	3896	aid=1813
	3897	aid=1814
	3904	aid=1821
	3906	aid=1823
	3919	aid=1836
	3920	aid=1837
	3921	aid=1838
	3923	aid=1840
	3924	aid=1841
	3925	aid=1919
	3926	aid=1920
	3932	aid=1926
	3933	aid=1927
	3939	aid=1933
	3940	aid=1934
	3941	aid=1935
	3942	aid=1936
	3990	aid=1988
	3992	aid=1990
	3995	aid=1993
	4024	aid=1679
	4027	aid=1682
	4032	aid=1688
	4033	aid=1689
	1236	aid=493180
	1260	aid=489042
	1282	aid=504478
	1283	aid=504479
	1285	aid=504481
	1294	aid=504490
	1304	aid=504500
	1315	aid=493220
	1320	aid=493225
	1322	aid=493227
	1325	aid=493230
	1330	aid=493235
	1331	aid=493236
	1333	aid=493238
	1334	aid=493239
	1343	aid=493249
	1349	aid=504321
	1354	aid=504326
	1362	aid=504334
	1364	aid=504336
	1366	aid=504338
	1368	aid=504340
	1384	aid=504357
	1406	aid=504379
	1407	aid=504380
	1408	aid=504381
	1411	aid=504384
	1412	aid=504385
	1414	aid=504387
	1428	aid=504521
	4511	aid=2296
	4512	aid=2298
	4516	aid=2307
	4520	aid=2311
	4524	aid=2317
	4528	aid=2323
	4536	aid=2332
	4549	aid=2345
	4550	aid=2346
	4553	aid=2349
	4554	aid=2350
	4555	aid=2351
	4558	aid=2354
	4568	aid=2364
	4576	aid=2372
	4577	aid=2373
	4578	aid=2374
	4579	aid=2375
	4580	aid=2376
	4582	aid=2378
	4589	aid=1989
	4609	aid=2114
	4653	aid=624341
	4657	aid=624345
	4658	aid=624346
	830	aid=488823
	832	aid=488825
	834	aid=488827
	836	aid=488829
	839	aid=488832
	845	aid=488838
	850	aid=488843
	854	aid=488847
	891	aid=489008
	892	aid=489009
	900	aid=489017
	967	aid=488896
	3015	aid=793
	3017	aid=795
	3028	aid=806
	3114	aid=1069
	3132	aid=1196
	3133	aid=1197
	3134	aid=1198
	3135	aid=1200
	3141	aid=1210
	3142	aid=1211
	3143	aid=1212
	3144	aid=1213
	3154	aid=465
	3167	aid=519
	3170	aid=522
	3173	aid=525
	3175	aid=527
	3176	aid=528
	3177	aid=529
	3201	aid=561
	3216	aid=576
	3223	aid=586
	3236	aid=599
	3237	aid=600
	3244	aid=607
	3247	aid=610
	3255	aid=1051
	3257	aid=1257
	3267	aid=1267
	3272	aid=1272
	3279	aid=1279
	2517	aid=2627
	2518	aid=2628
	2521	aid=2631
	2523	aid=2633
	2524	aid=2634
	2525	aid=2635
	2529	aid=2639
	2533	aid=2643
	2543	aid=2653
	2544	aid=2654
	2554	aid=2664
	2559	aid=2669
	2560	aid=2670
	2562	aid=2672
	2563	aid=2673
	2564	aid=2674
	2572	aid=2442
	2573	aid=2443
	2574	aid=2444
	2576	aid=2446
	2577	aid=2447
	2578	aid=2448
	2579	aid=2449
	2580	aid=2450
	2582	aid=2452
	2583	aid=2453
	2584	aid=2454
	2585	aid=2455
	2586	aid=2456
	2587	aid=2457
	2588	aid=2458
	2590	aid=2545
	2592	aid=2547
	2593	aid=2548
	2597	aid=2552
	2601	aid=2556
	2602	aid=2557
	2603	aid=2558
	2607	aid=2562
	2609	aid=2564
	2610	aid=2565
	2617	aid=2572
	2618	aid=2573
	2621	aid=2576
	2628	aid=2583
	2630	aid=2585
	339	aid=602336
	340	aid=602338
	389	aid=602430
	491	aid=602257
	535	aid=463169
	536	aid=463170
	537	aid=463171
	542	aid=463177
	551	aid=463186
	608	aid=662
	621	aid=675
	4034	aid=1690
	4036	aid=1692
	4038	aid=1694
	4049	aid=1705
	4051	aid=1707
	4052	aid=1708
	4053	aid=1709
	4055	aid=1711
	4056	aid=1712
	4063	aid=1719
	4064	aid=1720
	4068	aid=1724
	4069	aid=1725
	4070	aid=1726
	4071	aid=1727
	4072	aid=1728
	4073	aid=1729
	4075	aid=1731
	4076	aid=1732
	4077	aid=1733
	4083	aid=1739
	4084	aid=1740
	4095	aid=1751
	4102	aid=1758
	4103	aid=1759
	4105	aid=1761
	4106	aid=1762
	4107	aid=1763
	4113	aid=1769
	4119	aid=1775
	4120	aid=1776
	4127	aid=1783
	4136	aid=1792
	4149	aid=2035
	4151	aid=2037
	4152	aid=2038
	4154	aid=2040
	4156	aid=2042
	4157	aid=2043
	4159	aid=2045
	4160	aid=2046
	4161	aid=2047
	4163	aid=2049
	4164	aid=2050
	4166	aid=2052
	4167	aid=2053
	4168	aid=2055
	4172	aid=2066
	4188	aid=1910
	4198	aid=2460
	4201	aid=2463
	4205	aid=2468
	4208	aid=2471
	4210	aid=2473
	4216	aid=2479
	4221	aid=2484
	4223	aid=2486
	4224	aid=2487
	4225	aid=2488
	4236	aid=2499
	638	aid=692
	642	aid=440
	701	aid=485271
	705	aid=485275
	710	aid=485280
	711	aid=485281
	714	aid=485284
	747	aid=488973
	748	aid=488974
	754	aid=488980
	776	aid=489002
	777	aid=489003
	793	aid=488786
	797	aid=488790
	798	aid=488791
	799	aid=488792
	802	aid=488795
	808	aid=488801
	811	aid=488804
	812	aid=488805
	813	aid=488806
	815	aid=488808
	819	aid=488812
	821	aid=488814
	825	aid=488818
	827	aid=488820
	828	aid=488821
	2086	aid=602251
	2092	aid=588499
	2094	aid=588501
	2098	aid=588506
	2104	aid=588512
	2105	aid=588517
	2106	aid=588518
	2107	aid=588520
	2109	aid=588522
	2118	aid=588550
	2144	aid=588596
	2156	aid=2393
	2170	aid=2408
	2175	aid=2415
	2178	aid=2418
	2186	aid=2427
	2188	aid=2429
	2279	aid=602139
	2280	aid=602140
	2282	aid=602142
	2283	aid=602143
	2284	aid=602144
	2285	aid=602147
	2286	aid=602149
	2287	aid=602150
	2288	aid=602151
	2291	aid=602162
	1011	aid=488940
	1109	aid=493038
	1110	aid=493039
	1112	aid=493042
	1113	aid=493043
	1114	aid=493044
	1115	aid=493045
	1116	aid=493046
	1117	aid=493047
	1119	aid=493049
	1120	aid=493050
	1121	aid=493051
	1122	aid=493052
	1123	aid=493053
	1124	aid=493054
	1151	aid=493093
	1171	aid=493113
	3634	aid=1524
	3635	aid=1525
	3636	aid=1526
	3637	aid=1527
	3650	aid=1540
	3664	aid=1554
	3668	aid=1558
	3669	aid=1559
	3672	aid=1562
	3674	aid=1564
	3677	aid=1567
	3678	aid=1568
	3680	aid=1570
	3681	aid=1571
	3683	aid=1573
	3704	aid=1631
	3724	aid=1453
	3725	aid=1454
	3729	aid=1458
	3731	aid=1460
	3734	aid=1463
	3737	aid=1466
	3739	aid=1468
	3740	aid=1469
	3742	aid=1471
	3747	aid=1476
	3749	aid=1478
	3750	aid=1479
	3756	aid=1219
	3758	aid=1221
	3760	aid=1223
	3761	aid=1224
	3763	aid=1226
	3793	aid=1256
	3515	aid=995
	3526	aid=1007
	3527	aid=1008
	3528	aid=1009
	3533	aid=1014
	3549	aid=1030
	3563	aid=1405
	3564	aid=1406
	3568	aid=1410
	3570	aid=1412
	3571	aid=1413
	3572	aid=1414
	3573	aid=1415
	3581	aid=1423
	3582	aid=1424
	3589	aid=1437
	3591	aid=1439
	3592	aid=1440
	3593	aid=1441
	3600	aid=1448
	3603	aid=1451
	3607	aid=1857
	3610	aid=1860
	3612	aid=1862
	3616	aid=1866
	3617	aid=1867
	3618	aid=1868
	3619	aid=1869
	3620	aid=1870
	3621	aid=1871
	3622	aid=1872
	3623	aid=1873
	2692	aid=449753
	2705	aid=449766
	2718	aid=463076
	2719	aid=463077
	2727	aid=463085
	2758	aid=2808
	2760	aid=2810
	2763	aid=2813
	2769	aid=2819
	2775	aid=2826
	2776	aid=2827
	2777	aid=2828
	2778	aid=2829
	2779	aid=2830
	2782	aid=2833
	2821	aid=434951
	2823	aid=434953
	1447	aid=504541
	1456	aid=493188
	1457	aid=493189
	1461	aid=493193
	1462	aid=493194
	1463	aid=493195
	1478	aid=493210
	1480	aid=493212
	1481	aid=493213
	1483	aid=493215
	1496	aid=504410
	1502	aid=504416
	1503	aid=504417
	1504	aid=504418
	1532	aid=504446
	1533	aid=504447
	1537	aid=504451
	1538	aid=504452
	1539	aid=504453
	1540	aid=504454
	1542	aid=504456
	1544	aid=504458
	1545	aid=504459
	1547	aid=504461
	1549	aid=504463
	1554	aid=504468
	1555	aid=504469
	1556	aid=504470
	1557	aid=504471
	1558	aid=504472
	1559	aid=504473
	1562	aid=504476
	1563	aid=504477
	1568	aid=504565
	1569	aid=504566
	1571	aid=504568
	1572	aid=504569
	1580	aid=504577
	1581	aid=504578
	1583	aid=504580
	1590	aid=504587
	1591	aid=504588
	1598	aid=504595
	1600	aid=504597
	1603	aid=504600
	1606	aid=504603
	1609	aid=504606
	1621	aid=504618
	1623	aid=504620
	1627	aid=504624
	1632	aid=504629
	1637	aid=504634
	1641	aid=504638
	1646	aid=504643
	1659	aid=504656
	1724	aid=504735
	1725	aid=504736
	1726	aid=504737
	1727	aid=504738
	1728	aid=504739
	1729	aid=504740
	1730	aid=504741
	1738	aid=504751
	1739	aid=504752
	1741	aid=504754
	1745	aid=504758
	1746	aid=504759
	1747	aid=504760
	1757	aid=504776
	1758	aid=504777
	1759	aid=504778
	1760	aid=504779
	1763	aid=504782
	1778	aid=504812
	1781	aid=504815
	1785	aid=504819
	1810	aid=504844
	1827	aid=588338
	1847	aid=588358
	5504	aid=588777
	5511	aid=588810
	5514	aid=588818
	5627	aid=588825
	5628	aid=588826
	5629	aid=588828
	5630	aid=588829
	5631	aid=588830
	5632	aid=588831
	5633	aid=588833
	5634	aid=588836
	5635	aid=588837
	5637	aid=588842
	5638	aid=588843
	5639	aid=602126
	5640	aid=602154
	5641	aid=602155
	5879	aid=602122
	5880	aid=602128
	5881	aid=602129
	5929	aid=624017
883		aid=2383
884		aid=1742
885		aid=2169
892		aid=1805
893		aid=1808
894		aid=504355
895		aid=1791
896		aid=1807
898		aid=805
900		aid=1137
901		aid=1809
902		aid=1475
903		aid=1485
904		aid=1474
905		aid=1911
906		aid=1796
907		aid=1674
908		aid=1854
909		aid=1473
910		aid=2114
911		aid=1482
912		aid=1853
913		aid=1827
914		aid=2258
915		aid=1908
916		aid=1829
917		aid=2385
918		aid=2407
919		aid=2421
920		aid=2386
921		aid=488990
922		aid=504878
1114		aid=1577
1115		aid=2085
1117		aid=1640
1122		aid=1953
1124		aid=2604
1125		aid=1678
1126		aid=1677
1127		aid=2593
1128		aid=2526
1129		aid=2703
1130		aid=463083
1131		aid=435007
1132		aid=2580
1133		aid=2721
1134		aid=449771
1135		aid=435012
1136		aid=485291
1137		aid=2818
1138		aid=485363
1139		aid=485359
1140		aid=488968
1141		aid=504696
1142		aid=504540
1143		aid=624280
1144		aid=588521
1146		aid=1843
	7689	aid=2519
	7690	aid=2520
	7691	aid=2522
	7692	aid=2527
	7693	aid=2529
	7694	aid=2645
	7695	aid=2655
	7696	aid=2656
	7697	aid=2657
	7698	aid=2671
	7699	aid=2676
	7700	aid=2546
	7701	aid=2551
	7702	aid=2577
	7703	aid=2578
	7704	aid=2587
	7705	aid=2588
	7706	aid=2589
	7707	aid=2590
	7708	aid=2592
	7709	aid=2595
	7710	aid=2596
	7711	aid=2597
	7712	aid=435020
	7713	aid=449748
	7714	aid=449754
	7715	aid=449755
	7716	aid=449756
	7717	aid=449757
	7718	aid=449761
	7719	aid=449763
	7720	aid=463073
	7721	aid=463074
	7722	aid=2806
	7723	aid=434971
	7724	aid=435003
	7725	aid=435005
	7726	aid=698
	7727	aid=714
	7728	aid=753
	7729	aid=762
	7730	aid=763
	7731	aid=765
	7732	aid=766
	7733	aid=779
	7734	aid=466
	7735	aid=467
	7736	aid=468
	7737	aid=520
	7738	aid=521
	7739	aid=603
	7740	aid=861
	7741	aid=1443
	7742	aid=1237
	7743	aid=1662
	7744	aid=1663
	7745	aid=1914
	7746	aid=2462
	7747	aid=2470
	7748	aid=2477
	7749	aid=1889
	7750	aid=1891
	7751	aid=1900
	7752	aid=1902
	7753	aid=2137
	7754	aid=2138
	7755	aid=624453
	7756	aid=624455
	7757	aid=624459
	7758	aid=624461
	7759	aid=2593
	7760	aid=588414
	7761	aid=588415
	7762	aid=588416
	7763	aid=588417
	7764	aid=588418
	7765	aid=588419
	7766	aid=588420
	7767	aid=588421
	7768	aid=588422
	7769	aid=588423
	7770	aid=588438
	7771	aid=588462
	7772	aid=588471
	7773	aid=588472
	7774	aid=588484
	7775	aid=588486
	7776	aid=588490
	7777	aid=588556
	7778	aid=588557
	7779	aid=588558
	7780	aid=588559
	7781	aid=588560
	7782	aid=588570
	7783	aid=588582
	7784	aid=588588
	7785	aid=588593
	7786	aid=588594
	7787	aid=504859
	7788	aid=540305
	7789	aid=540312
	7790	aid=588671
	7791	aid=588672
	7792	aid=588840
	7793	aid=588844
	7794	aid=588845
	7795	aid=588846
	7796	aid=602130
	7797	aid=602131
	7798	aid=602132
	7799	aid=602133
	7800	aid=602416
	7801	aid=602423
	7802	aid=602424
	7803	aid=602425
	7804	aid=602434
	7805	aid=624058
	7806	aid=624064
	7807	aid=624070
	7808	aid=624072
	7809	aid=624073
	7810	aid=624074
	7811	aid=624075
	7812	aid=624109
	7813	aid=624102
	7814	aid=624104
	7815	aid=624105
	7816	aid=624106
	7817	aid=624107
	7818	aid=624033
	7819	aid=624018
	7820	aid=624020
	7821	aid=623950
	7822	aid=623951
	7823	aid=623985
	7824	aid=623987
	7825	aid=623990
	7826	aid=623991
	7827	aid=623993
	7828	aid=624011
	7829	aid=624016
	7830	aid=602256
	7831	aid=602258
	7832	aid=602262
	7833	aid=602286
	7834	aid=602287
	7835	aid=602288
	7836	aid=602290
	7837	aid=602291
3		aid=488952
73		aid=1818
74		aid=2095
75		aid=2324
76		aid=1971
77		aid=1693
109		aid=1989
110		aid=1989
111		aid=1989
112		aid=1998
113		aid=1998
114		aid=1260
115		aid=1693
116		aid=1693
117		aid=1693
118		aid=1693
119		aid=1693
120		aid=1772
121		aid=1772
122		aid=1504
123		aid=1772
124		aid=2087
125		aid=1504
126		aid=2714
127		aid=1998
128		aid=485335
129		aid=488855
130		aid=504493
131		aid=504448
132		aid=504622
133		aid=588470
134		aid=588469
135		aid=588467
136		aid=588701
137		aid=588367
138		aid=588561
151		aid=1995
152		aid=1826
154		aid=624294
155		aid=488964
