ID	USE	DUP	CLASS_TREE
PC00060	1	FALSE	\protein class\calcium-binding protein\
PC00057	1	FALSE	\protein class\cell adhesion molecule\cadherin\
PC00125	1	FALSE	\protein class\cell adhesion molecule\immunoglobulin superfamily cell adhesion molecule\
PC00126	1	FALSE	\protein class\cell adhesion molecule\integrin\
PC00070	1	FALSE	\protein class\cell junction protein\
PC00072	1	FALSE	\protein class\chaperone\
PC00041	1	FALSE	\protein class\cytoskeletal protein\actin family cytoskeletal protein\
PC00129	1	FALSE	\protein class\cytoskeletal protein\intermediate filament\
PC00157	1	FALSE	\protein class\cytoskeletal protein\microtubule family cytoskeletal protein\
PC00051	1	FALSE	\protein class\defense/immunity protein\antibacterial response protein\
PC00078	1	FALSE	\protein class\defense/immunity protein\complement component\
PC00123	1	FALSE	\protein class\defense/immunity protein\immunoglobulin\
PC00149	1	FALSE	\protein class\defense/immunity protein\major histocompatibility complex antigen\
PC00022	1	FALSE	\protein class\enzyme modulator\G-protein modulator\
PC00020	1	FALSE	\protein class\enzyme modulator\G-protein\
PC00138	1	FALSE	\protein class\enzyme modulator\kinase modulator\kinase activator\
PC00139	1	FALSE	\protein class\enzyme modulator\kinase modulator\kinase inhibitor\
PC00182	1	FALSE	\protein class\enzyme modulator\phosphatase modulator\phosphatase activator\
PC00183	1	FALSE	\protein class\enzyme modulator\phosphatase modulator\phosphatase inhibitor\
PC00054	1	FALSE	\protein class\enzyme modulator\protease inhibitor\aspartic protease inhibitor\
PC00082	1	FALSE	\protein class\enzyme modulator\protease inhibitor\cysteine protease inhibitor\
PC00154	1	FALSE	\protein class\enzyme modulator\protease inhibitor\metalloprotease inhibitor\
PC00204	1	FALSE	\protein class\enzyme modulator\protease inhibitor\serine protease inhibitor\
PC00102	1	FALSE	\protein class\extracellular matrix protein\
PC00048	1	FALSE	\protein class\hydrolase\amylase\
PC00087	1	FALSE	\protein class\hydrolase\deacetylase\
PC00088	1	FALSE	\protein class\hydrolase\deaminase\
PC00097	1	FALSE	\protein class\hydrolase\esterase\
PC00104	1	FALSE	\protein class\hydrolase\galactosidase\
PC00108	1	FALSE	\protein class\hydrolase\glucosidase\
PC00110	1	FALSE	\protein class\hydrolase\glycosidase\
PC00143	1	FALSE	\protein class\hydrolase\lipase\
PC00185	1	FALSE	\protein class\hydrolase\phosphodiesterase\
PC00196	1	FALSE	\protein class\hydrolase\pyrophosphatase\
PC00135	1	FALSE	\protein class\isomerase\
PC00045	1	FALSE	\protein class\kinase\amino acid kinase\
PC00065	1	FALSE	\protein class\kinase\carbohydrate kinase\
PC00172	1	FALSE	\protein class\kinase\nucleotide kinase\
PC00167	1	FALSE	\protein class\kinase\protein kinase\non-receptor serine/threonine protein kinase\
PC00168	1	FALSE	\protein class\kinase\protein kinase\non-receptor tyrosine protein kinase\
PC00047	1	FALSE	\protein class\ligase\aminoacyl-tRNA synthetase\
PC00234	1	FALSE	\protein class\ligase\ubiquitin-protein ligase\
PC00044	1	FALSE	\protein class\lyase\aldolase\
PC00043	1	FALSE	\protein class\lyase\cyclase\adenylate cyclase\
PC00114	1	FALSE	\protein class\lyase\cyclase\guanylate cyclase\
PC00089	1	FALSE	\protein class\lyase\decarboxylase\
PC00091	1	FALSE	\protein class\lyase\dehydratase\
PC00120	1	FALSE	\protein class\lyase\hydratase\
PC00150	1	FALSE	\protein class\membrane traffic protein\
PC00071	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\centromere DNA-binding protein\
PC00077	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\chromatin/chromatin-binding protein\
PC00086	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\damaged DNA-binding protein\
PC00010	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\DNA glycosylase\
PC00011	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\DNA helicase\
PC00012	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\DNA ligase\
PC00013	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\DNA methyltransferase\
PC00014	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\DNA photolyase\
PC00015	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\DNA polymerase processivity factor\
PC00016	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\DNA strand-pairing protein\
PC00017	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\DNA topoisomerase\
PC00018	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\DNA-directed DNA polymerase\
PC00118	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\histone\
PC00199	1	FALSE	\protein class\nucleic acid binding\DNA binding protein\replication origin binding protein\
PC00093	1	FALSE	\protein class\nucleic acid binding\nuclease\endodeoxyribonuclease\
PC00094	1	FALSE	\protein class\nucleic acid binding\nuclease\endoribonuclease\
PC00098	1	FALSE	\protein class\nucleic acid binding\nuclease\exodeoxyribonuclease\
PC00099	1	FALSE	\protein class\nucleic acid binding\nuclease\exoribonuclease\
PC00019	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\DNA-directed RNA polymerase\
PC00145	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\mRNA processing factor\mRNA capping factor\
